game,source_row_key,cardmarket_product_id,cardmarket_name_raw,raw_match,parser,parser_version,confidence
digimon,1fe99a9b4a5bf6719a5412b7d88a6d913a695821e841a720920a4fcf2e3ef0e1,722609,Gankoomon,BT13-019,digimon_catalogue_name,1.0.0,candidate_only
digimon,204b8ebe53d4839ec8fbaa37e01b5b7e7e75ed0670070b0f3d73f0ffc64af8b3,756272,Aldamon,BT12-015,digimon_catalogue_name,1.0.0,candidate_only
digimon,2186712483ebcb4b146940e7b116eace0aac20801b0f3824be86d6ccb9ac5263,844265,LordKnightmon,BT19-072,digimon_catalogue_name,1.0.0,candidate_only
digimon,219f1c1579d3929519b1e4fe2bee8ded5f395bd21c7357fe82363c879cc98867,878099,Mirei Mikagura,EX6-074,digimon_catalogue_name,1.0.0,candidate_only
digimon,21f0a1188b77cf60086eb7066387e872c202e3200c2137ebf51ce3a4a74fb21b,743731,Impmon,ST14-02,digimon_catalogue_name,1.0.0,candidate_only
digimon,22162bcd224f8f43ecf64e44fca6e109e3c7c1bbb06b3ac807fa975939a96cd6,794069,Future Potential!,P-156,digimon_catalogue_name,1.0.0,candidate_only
digimon,222e5a399a20a2ed39782eebdf924d19bbb426bb2742d69807e41ea49772c313,779666,AncientGreymon,BT17-017,digimon_catalogue_name,1.0.0,candidate_only
digimon,223585e29ae9572c9449361bd6309b948d20a872865de15d6d2c086a42673ca2,716098,Omnimon Alter-B,EX4-073,digimon_catalogue_name,1.0.0,candidate_only
digimon,223638bdb39f76f459e0c855e2a7a0bb2ad218f521f9dc87f3ffe2d9762fc46c,722615,UlforceVeedramon,BT13-030,digimon_catalogue_name,1.0.0,candidate_only
digimon,2272ae816cb7ed75696a0f50e79311307278d8338958e29a77a1ceec57489181,716103,Magnamon,BT8-038,digimon_catalogue_name,1.0.0,candidate_only
digimon,22aa09ae85b5222cd8a585595ea19072a81e2192da8f1dd0e3c545c7deba06fc,809533,Taomon Ace,BT19-037,digimon_catalogue_name,1.0.0,candidate_only
digimon,22f193b0d57a106f30286cb3abe27c7ee0e16cc00bf315ff3f1b3060f8fe6fac,665447,Renamon,BT19-030,digimon_catalogue_name,1.0.0,candidate_only
digimon,22f7fa678c339766965b8d6cb085035e542e26c504809c2de01d24f92e7a988e,650307,AeroVeedramon,BT2-028,digimon_catalogue_name,1.0.0,candidate_only
digimon,231b3584557b20b7db5d076f199755e1b70b9b5afb25f25dcea599b46e0abfaf,694980,WarGrowlmon,BT12-016,digimon_catalogue_name,1.0.0,candidate_only
digimon,23577b20735e9238efd7093834eebe0052c410b59576db8145990ac597d7ac87,653658,Magnamon,BT8-038,digimon_catalogue_name,1.0.0,candidate_only
digimon,2377cb2dbfbcd3ae2297d8fc3670caf4628b8ec18dc3505dc0fec11bf81c4e16,650860,WarGreymon,BT1-025,digimon_catalogue_name,1.0.0,candidate_only
digimon,2390a080e4b877da0663f3e1af811a51dc1abb58474216c68b6280e9cf89c39f,665449,Sakuyamon,EX2-024,digimon_catalogue_name,1.0.0,candidate_only
digimon,23991c5314e713d4a5f4cfc4b55d46b65f4d5f3048f2730578e54168e10df092,650318,LordKnightmon,BT5-045,digimon_catalogue_name,1.0.0,candidate_only
digimon,23e8e1c90aa735a74b4856a038c32fad364bc1628e8b9c05dceb08014cf33fd1,818293,Puppetmon Ace,BT21-051,digimon_catalogue_name,1.0.0,candidate_only
digimon,23eaf609441be11f3ab7f72e21f103b7e8b835d9befd8b6e673cd60da7a51c6e,847740,Beelzemon Ace,EX10-074,digimon_catalogue_name,1.0.0,candidate_only
digimon,24138f539e057fc4d0071e04854f2b1756c5f4570b570706fc84e20c6177cd27,775388,Ogudomon,EX6-073,digimon_catalogue_name,1.0.0,candidate_only
digimon,246f54300bb4b1f62d053b2649d55e02e35d8da6998dd67aa77aac943edb33eb,694982,Gallantmon Crimson Mode,EX2-073,digimon_catalogue_name,1.0.0,candidate_only
digimon,249abadd0fac86614e4ce60df5c3befb65ad244cef78ffde39afb0069f1eae1d,769462,Paildramon,BT16-025,digimon_catalogue_name,1.0.0,candidate_only
digimon,24ab7473c0a41317150f5db2ace1bf23f4bfbc16fc5971f3104b1da9116274a9,812060,MetalGarurumon,BT17-027,digimon_catalogue_name,1.0.0,candidate_only
digimon,24d9e9da6f0b40e50b49c1e4e919ebae02d1446121d534ef0be272bf2e8fbd19,871144,Vortexdramon,EX11-074,digimon_catalogue_name,1.0.0,candidate_only
digimon,24f43d9fde3f42585cd4267bb424ba517b2e10c20b0df21d615f7d0a05a17ca5,872843,Titamon,P-209,digimon_catalogue_name,1.0.0,candidate_only
digimon,2528aab90ff1f861090995f7b3cef19ed7fb81f470bd09f6dbcff6b6b6bdca2a,809449,Shadramon,P-110,digimon_catalogue_name,1.0.0,candidate_only
digimon,25966e27ee8744a1c1f3d40939ca4ac71325741fcd4282d94aebacf0f727c2b0,879427,Omnimon (X Antibody),BT20-102,digimon_catalogue_name,1.0.0,candidate_only
digimon,25e0f0431d804bcfe12b258d383d7c6c1a50b744d38b65baff9269a75a29eaaf,864262,Homeros,BT24-102,digimon_catalogue_name,1.0.0,candidate_only
digimon,260f56c5a8261daff9deaf51676477cd93810798ef7869e69c7b24a6183e9abc,800391,DeathXmon,BT9-112,digimon_catalogue_name,1.0.0,candidate_only
digimon,26fffff5508af56e8c8fe33147febf1ad788c9e1ca362768f6df10c5abeb4572,885383,Agumon,ST24-04,digimon_catalogue_name,1.0.0,candidate_only
digimon,275d9daf1a79c2f813184215cfacbe54837dc1c255564d0f47feb50296883d3d,755550,Apocalymon,BT15-102,digimon_catalogue_name,1.0.0,candidate_only
digimon,276f41e1d1f18bb118f13860247e93aeca1d1f9106a4d2889b691e7faa071842,790564,Imperialdramon: Fighter Mode,BT12-031,digimon_catalogue_name,1.0.0,candidate_only
digimon,27a317eccb7f32332695acdc651f6d3d8d2d042bbaf9cf270f29efd9485d79e0,722643,Gallantmon,BT13-111,digimon_catalogue_name,1.0.0,candidate_only
digimon,288ff69db7c187bddacca5bce3fb34271644474b5a1f2b860400361ba8f1e886,785215,MegaGargomon Ace,ST17-08,digimon_catalogue_name,1.0.0,candidate_only
digimon,289426ae4bee06726d995fa74bc432097466911fbe984f217ae71755d1f1ea13,722651,Gravity Crush,BT1-090,digimon_catalogue_name,1.0.0,candidate_only
digimon,28e809f585a05284d3aef4128f12b1d3efe2a56dd5c8cfe97cd25abd7d8b9664,807844,Alphamon: Ouryuken Ace,BT20-060,digimon_catalogue_name,1.0.0,candidate_only
digimon,291daf12e71b9a922d950682345ac9e4371533bdd5368902c96253a4b59a557f,756204,Omnimon,BT5-086,digimon_catalogue_name,1.0.0,candidate_only
digimon,29e1bbe05ae3592319cad817620008a7aadaa2a05f49c5d3214094340f31ed61,806608,Veemon,BT11-023,digimon_catalogue_name,1.0.0,candidate_only
digimon,2a19430983b987f3de4488b7167386f0f749aea5c264ff837a7e57cc43f5b841,803509,Close,EX8-067,digimon_catalogue_name,1.0.0,candidate_only
digimon,2a2045226789d330519cd3d1570118be9330614ba684aa1bee8a79bb86bd5161,679457,Sistermon Ciel,BT10-085,digimon_catalogue_name,1.0.0,candidate_only
digimon,2a7571ef61b9851666f99affdad2708b74c68a7983b257f0f3ae865e6966fa9f,789149,Black Memory Boost!,P-039,digimon_catalogue_name,1.0.0,candidate_only
digimon,2a95b157547148478a5e2b8c4d68500edf77405b55532295ca8ec9d202ccdf07,785197,Venusmon,BT10-042,digimon_catalogue_name,1.0.0,candidate_only
