source_row_key,status,match_method,cardmarket_product_id,cardmarket_name,finish,provider_card_id,candidate_count,reason_code,evidence,cardmarket_url
7619d6a30e12920c5f7c71c6a876221266d120def93dda62625a4452b5975487,exact,direct_marketplace_id,19333,Plains,nonfoil,46ca9523-e126-467d-9d78-823d2e89837d,1,,cardmarket_id=19333,https://www.cardmarket.com/en/Magic/Products?idProduct=19333
7623293a788f7d52e15012ade94854954cf516a9f5e1618eb4e6fe2f09210394,exact,direct_marketplace_id,611285,Spara's Headquarters,nonfoil,0ddd6093-eb29-4a1a-a0af-debb86c9cadd,1,,cardmarket_id=611285,https://www.cardmarket.com/en/Magic/Products?idProduct=611285
762829f856a06df14ebb4c290a5966924a1ec49f0f0c55f3eae54e02cdb19623,exact,direct_marketplace_id,686741,"Titania, Voice of Gaea // Titania, Gaea Incarnate",foil,d9815e4d-729d-4cfe-ab54-12c58bc3099e,1,,cardmarket_id=686741,https://www.cardmarket.com/en/Magic/Products?idProduct=686741&isFoil=Y
762a8cc726665b27832c9866084e81151809ad28f18758946b90fcfdfe757a15,exact,direct_marketplace_id,12092,"Kokusho, the Evening Star",foil,63dc0698-e92f-4134-80e4-5cc37b80e37c,1,,cardmarket_id=12092,https://www.cardmarket.com/en/Magic/Products?idProduct=12092&isFoil=Y
762fee4c465a166b6626bba2401ca8d2b3d0cc6d11ed1272ee285f9e50dddae6,exact,direct_marketplace_id,685952,Thicket Basilisk,nonfoil,afac4216-c5f4-4846-ab8d-2b8aa107d5e8,1,,cardmarket_id=685952,https://www.cardmarket.com/en/Magic/Products?idProduct=685952
7633bd8e97927d1ad0f52665f5869484792b27ebeb845d5178e4c0d5f531bbae,provider_missing,none,272648,Volcanic Eruption,nonfoil,,0,CM_ID_NOT_FOUND,,https://www.cardmarket.com/en/Magic/Products?idProduct=272648
7635490d2a193c75aa639a6e89a8c6001d110265e60e9fd7d0c6d139146306b8,exact,direct_marketplace_id,1113,Forgotten Ancient,foil,49d3b91d-2e4f-4574-89f8-7b804f1d21bf,1,,cardmarket_id=1113,https://www.cardmarket.com/en/Magic/Products?idProduct=1113&isFoil=Y
763d38da728e0752ad58d9c425bad553b69c885a160a2da20601965e8323d5bf,exact,direct_marketplace_id,662793,Nalia de'Arnise,foil,bee97908-314a-4704-a8bd-962fcb4db947,1,,cardmarket_id=662793,https://www.cardmarket.com/en/Magic/Products?idProduct=662793&isFoil=Y
7643739d6af1d1ee9722756d8a967c0626d72627e80c96c215a29795136ca29d,exact,direct_marketplace_id,828199,"Teferi, Mage of Zhalfir",foil,9ca8fdd4-7e62-4475-9aed-c227ab3977f7,1,,cardmarket_id=828199,https://www.cardmarket.com/en/Magic/Products?idProduct=828199&isFoil=Y
764a71ff9191b0a26a5697380d222ff5d6615c29c266faaaec3d3e655089ed12,exact,direct_marketplace_id,21895,Bloodchief Ascension,nonfoil,aa213dbb-c52a-4084-92aa-d0b5d97a97d9,1,,cardmarket_id=21895,https://www.cardmarket.com/en/Magic/Products?idProduct=21895
